trade_date,symbol,asset_type,side,quantity,entry_price,exit_price,realized_pnl,fees,account_name
2026-05-04,ES,future,LONG,2,5200.25,5210.50,1025.00,4.20,Demo
2026-05-04,NQ,future,SHORT,1,18250.00,18230.00,400.00,2.10,Demo
2026-05-05,ES,future,LONG,1,5212.00,5208.00,-200.00,2.10,Demo
2026-05-05,ES,future,LONG,1,5208.00,5215.00,350.00,2.10,Demo
2026-05-06,NQ,future,LONG,2,18300.00,18280.00,-800.00,4.20,Demo
2026-05-06,ES,future,SHORT,1,5220.00,5224.00,-200.00,2.10,Demo
2026-05-07,ES,future,LONG,2,5215.00,5228.00,1300.00,4.20,Demo
2026-05-08,NQ,future,LONG,1,18260.00,18290.00,600.00,2.10,Demo
2026-05-11,ES,future,SHORT,2,5230.00,5222.00,800.00,4.20,Demo
2026-05-11,ES,future,LONG,1,5225.00,5221.00,-200.00,2.10,Demo
2026-05-12,NQ,future,SHORT,1,18310.00,18340.00,-600.00,2.10,Demo
2026-05-13,ES,future,LONG,2,5226.00,5240.00,1400.00,4.20,Demo
2026-05-14,ES,future,LONG,1,5238.00,5232.00,-300.00,2.10,Demo
2026-05-15,NQ,future,LONG,2,18320.00,18345.00,1000.00,4.20,Demo
